# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
2461,1.04325584,85.28842387,14.51526368,0,0,0,0.069411522,0,0,0,0,0,0,0,0.126900931,0,0
2485,1.04325584,84.15912726,15.72926247,0,0,0,0,0,0,0,0,0,0,0,0.111610269,0,0
2522,3.761512426,83.53032991,16.35541345,0,0,0,0,0,0,0,0,0,0,0,0.11425664,0,0
2524,5.922951985,82.52592045,17.34156875,0,0,0,0,0,0,0,0,0,0,0,0.132510793,0,0
2535,2.110634004,82.91517888,16.95360284,0,0,0,0,0,0,0,0,0,0,0,0.13121828,0,0
2537,1.311931178,84.53614724,15.31697601,0,0,0,0,0,0,0,0,0,0,0,0.146876756,0,0
2575,3.774946442,83.06193913,16.80133956,0,0,0,0,0,0,0,0,0,0,0,0.136721307,0,0
2577,2.474937749,84.75237987,15.15364697,0,0,0,0,0,0,0,0,0,0,0,0.093973164,0,0
2632,1.431855217,86.16297217,13.52999382,0,0,0,0.202782033,0,0,0,0,0,0,0,0.104251977,0,0
2634,3.980556232,68.83493567,26.44523785,0.541639976,0,0.606762774,3.327784692,0,0,0,0.061378684,0,0.122336168,0,0.05992418,0,0
2641,1.04325584,84.12238715,15.75132181,0,0,0,0,0,0,0,0,0,0,0,0.126291039,0,0
2665,1.201141092,83.58862302,16.26769128,0,0,0,0,0,0,0,0,0,0,0,0.143685696,0,0
2679,1.124971704,84.40442642,15.27417791,0.182622045,0,0,0,0,0,0,0,0,0,0,0.138773621,0,0
2793,1.405089208,84.51052377,15.35036011,0,0,0,0,0,0,0,0,0,0,0,0.139116119,0,0
2809,1.04325584,99.71740412,0,0,0,0,0.115164912,0,0,0,0,0,0,0,0.167430969,0,0
2851,1.079034952,81.09910809,17.96327029,0.089695191,0,0,0.646742573,0,0,0,0,0.091070451,0,0,0.110113404,0,0
2923,1.201141092,86.94612994,12.8438583,0,0,0,0.057915747,0,0,0,0,0,0,0,0.15209601,0,0
3005,1.431855217,75.95648826,22.11276572,0,0,0,1.81633265,0,0,0,0,0,0.034227278,0,0.080186089,0,0
3018,1.147250534,84.74790012,15.25209988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3023,1.031053598,85.12837548,14.74604615,0,0,0,0,0,0,0,0,0,0,0,0.125578373,0,0
3039,1.055317002,84.31209286,15.58448895,0,0,0,0,0,0,0,0,0,0,0,0.103418191,0,0
3077,1.018705205,82.95391992,16.91354846,0,0,0,0,0,0,0,0,0,0,0,0.132531622,0,0
3110,1.190558145,85.47589702,14.40377488,0,0,0,0,0,0,0,0,0,0,0,0.120328094,0,0
3120,6.495676633,71.73493724,24.21823088,0,0.063062286,0.530903138,1.896728234,0,0.300849412,0.039325066,0.035828004,1.100404435,0.079731296,0,0,0,0
3297,3.478328099,75.47629433,22.02791968,0,0.204839533,0.763619267,0.924413987,0,0,0.142480967,0,0,0.387709416,0,0,0.072722813,0
3336,1.272760193,84.80397341,15.09375618,0,0,0,0,0,0,0,0,0,0,0,0,0.102270403,0
3342,1.414067505,84.52865106,15.35537508,0,0,0,0,0,0,0,0,0,0,0,0,0.11597386,0
3353,1.440666717,81.69913187,16.84470061,0.303872561,0.124324115,0.310322178,0.481431259,0,0,0.093729189,0,0,0.076656232,0,0,0.065831984,0
3364,1.525985864,86.57105127,13.33099466,0,0,0,0,0,0,0,0,0,0,0,0,0.097954062,0
3393,1.031053598,85.28647625,14.61472082,0,0,0,0,0,0,0,0,0,0,0,0,0.098802928,0
3417,1.067241867,85.71329339,14.11607442,0,0,0,0,0,0,0,0,0,0,0,0,0.170632182,0
3435,1.190558145,86.15619094,13.73365351,0,0,0,0,0,0,0,0,0,0,0,0,0.11015555,0
3612,1.440666717,85.16940539,14.72480353,0,0,0,0,0,0,0,0,0,0,0,0,0.105791086,0
